cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction,task_id,reduced_formula,crystal_system,co_fraction,sg_number,formula_pretty,nsites,spacegroup_number,min_AB_dist,min_AA_dist,min_BB_dist,cif_present,p_stable,predicted_label,confidence_band,rank_overall,rank_shortlist
Co4_Bi16_m1_n4_z4_sg065_trial000_f51f6a6804.cif,Co4Bi16,65,20,4,16,5.816903,2.79,2.908452,668.503003,33.42515,0.41511,Co4_Bi16_m1_n4_z4_sg065_trial000_f51f6a6804,CoBi4,Orthorhombic,0.2,65,CoBi4,20,65,2.908452,2.79,5.816903,True,0.9468,stable,high stable,16,11
Co4_Bi24_m1_n6_z4_sg074_trial000_0aa8df9368.cif,Co4Bi24,74,28,4,24,5.154588,2.79,2.934637,1087.479129,38.83854,0.367723,Co4_Bi24_m1_n6_z4_sg074_trial000_0aa8df9368,CoBi6,Orthorhombic,0.14285714285714285,74,CoBi6,28,74,2.934637,2.79,5.154588,True,0.9413,stable,high stable,19,12
Co4_Bi16_m1_n4_z4_sg201_trial000_180aa31d6b.cif,Co4Bi16,201,20,4,16,5.485465,2.79,2.79,466.858464,23.342923,0.594403,Co4_Bi16_m1_n4_z4_sg201_trial000_180aa31d6b,CoBi4,Cubic,0.2,201,CoBi4,20,201,2.79,2.79,5.485465,True,0.9395,stable,high stable,20,13
Co4_Bi24_m1_n6_z4_sg209_trial000_1d5a1b5647.cif,Co4Bi24,209,28,4,24,5.58,2.79,2.79,491.414074,17.550503,0.813755,Co4_Bi24_m1_n6_z4_sg209_trial000_1d5a1b5647,CoBi6,Cubic,0.14285714285714285,209,CoBi6,28,209,2.79,2.79,5.58,True,0.9384,stable,high stable,21,14
Co4_Bi28_m1_n7_z4_sg064_trial000_66959cb733.cif,Co4Bi28,64,32,4,28,5.149629,2.79,3.072905,1053.244562,32.913893,0.437776,Co4_Bi28_m1_n7_z4_sg064_trial000_66959cb733,CoBi7,Orthorhombic,0.125,64,CoBi7,32,64,3.072905,2.79,5.149629,True,0.9349,stable,high stable,23,15
Co2_Bi14_m1_n7_z2_sg204_trial000_9236c4db74.cif,Co2Bi14,204,16,2,14,5.58,2.79,2.79,267.491941,16.718246,0.861867,Co2_Bi14_m1_n7_z2_sg204_trial000_9236c4db74,CoBi7,Cubic,0.125,204,CoBi7,16,204,2.79,2.79,5.58,True,0.9348,stable,high stable,24,16
Co2_Bi14_m1_n7_z2_sg211_trial000_31739902eb.cif,Co2Bi14,211,16,2,14,5.58,2.79,2.79,267.491941,16.718246,0.861867,Co2_Bi14_m1_n7_z2_sg211_trial000_31739902eb,CoBi7,Cubic,0.125,211,CoBi7,16,211,2.79,2.79,5.58,True,0.9348,stable,high stable,25,17
Co2_Bi14_m1_n7_z2_sg201_trial000_02f290de2d.cif,Co2Bi14,201,16,2,14,5.58,2.79,2.79,267.491941,16.718246,0.861867,Co2_Bi14_m1_n7_z2_sg201_trial000_02f290de2d,CoBi7,Cubic,0.125,201,CoBi7,16,201,2.79,2.79,5.58,True,0.9348,stable,high stable,26,18
Co3_Bi12_m1_n4_z3_sg166_trial000_c8e2360e30.cif,Co3Bi12,166,15,3,12,5.58,3.864185,2.79,519.951447,34.66343,0.400281,Co3_Bi12_m1_n4_z3_sg166_trial000_c8e2360e30,CoBi4,Trigonal,0.2,166,CoBi4,15,166,2.79,3.864185,5.58,True,0.9339,stable,high stable,29,19
Co2_Bi10_m1_n5_z2_sg201_trial000_f246ebddcf.cif,Co2Bi10,201,12,2,10,5.58,2.79,2.79,267.491941,22.290995,0.633096,Co2_Bi10_m1_n5_z2_sg201_trial000_f246ebddcf,CoBi5,Cubic,0.16666666666666666,201,CoBi5,12,201,2.79,2.79,5.58,True,0.9332,stable,high stable,30,20
Co3_Bi15_m1_n5_z3_sg207_trial000_36d76771f6.cif,Co3Bi15,207,18,3,15,,2.79,3.045143,632.7302,35.151678,0.40147,Co3_Bi15_m1_n5_z3_sg207_trial000_36d76771f6,CoBi5,Cubic,0.16666666666666666,207,CoBi5,18,207,3.045143,2.79,,True,0.9306,stable,high stable,41,21
