cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co8_Bi4_m2_n1_z4_sg050_trial000_fb018a580d.cif,Co8Bi4,50,12,8,4
Co8_Bi4_m2_n1_z4_sg052_trial000_2ca2917b9a.cif,Co8Bi4,52,12,8,4
Co8_Bi4_m2_n1_z4_sg049_trial000_ce899efa54.cif,Co8Bi4,49,12,8,4
Co8_Bi4_m2_n1_z4_sg056_trial000_a72150058e.cif,Co8Bi4,56,12,8,4
Co8_Bi4_m2_n1_z4_sg057_trial000_df01106c08.cif,Co8Bi4,57,12,8,4
Co8_Bi4_m2_n1_z4_sg060_trial000_8c96864e05.cif,Co8Bi4,60,12,8,4
Co8_Bi4_m2_n1_z4_sg055_trial000_f57a1a3950.cif,Co8Bi4,55,12,8,4
Co8_Bi4_m2_n1_z4_sg066_trial000_b095720755.cif,Co8Bi4,66,12,8,4
Co8_Bi4_m2_n1_z4_sg062_trial000_495937c416.cif,Co8Bi4,62,12,8,4
Co8_Bi4_m2_n1_z4_sg047_trial000_59ff21fb51.cif,Co8Bi4,47,12,8,4
Co8_Bi4_m2_n1_z4_sg065_trial000_972f84d914.cif,Co8Bi4,65,12,8,4
Co8_Bi4_m2_n1_z4_sg068_trial000_9f160f1a7e.cif,Co8Bi4,68,12,8,4
Co8_Bi4_m2_n1_z4_sg058_trial000_31bba49f46.cif,Co8Bi4,58,12,8,4
Co8_Bi4_m2_n1_z4_sg074_trial000_3d2164cea8.cif,Co8Bi4,74,12,8,4
Co8_Bi4_m2_n1_z4_sg072_trial000_2d638a7a75.cif,Co8Bi4,72,12,8,4
Co8_Bi4_m2_n1_z4_sg064_trial000_72f6899c3e.cif,Co8Bi4,64,12,8,4
Co8_Bi4_m2_n1_z4_sg079_trial000_5e676e7e4b.cif,Co8Bi4,79,12,8,4
Co8_Bi4_m2_n1_z4_sg069_trial000_62c90ca204.cif,Co8Bi4,69,12,8,4
Co8_Bi4_m2_n1_z4_sg080_trial000_298ed78209.cif,Co8Bi4,80,12,8,4
Co8_Bi4_m2_n1_z4_sg081_trial000_1b7463daf7.cif,Co8Bi4,81,12,8,4
Co8_Bi4_m2_n1_z4_sg085_trial000_e7a3efaeaa.cif,Co8Bi4,85,12,8,4
Co8_Bi4_m2_n1_z4_sg075_trial000_124e3e4114.cif,Co8Bi4,75,12,8,4
Co8_Bi4_m2_n1_z4_sg086_trial000_6f697349cc.cif,Co8Bi4,86,12,8,4
Co8_Bi4_m2_n1_z4_sg088_trial000_e7524bf13f.cif,Co8Bi4,88,12,8,4
Co8_Bi4_m2_n1_z4_sg092_trial000_a5b7b4451a.cif,Co8Bi4,92,12,8,4
Co8_Bi4_m2_n1_z4_sg094_trial000_1a943df1f3.cif,Co8Bi4,94,12,8,4
Co8_Bi4_m2_n1_z4_sg083_trial000_535fd3aed8.cif,Co8Bi4,83,12,8,4
Co8_Bi4_m2_n1_z4_sg096_trial000_50041edfb5.cif,Co8Bi4,96,12,8,4
Co8_Bi4_m2_n1_z4_sg090_trial000_acbc19172c.cif,Co8Bi4,90,12,8,4
Co8_Bi4_m2_n1_z4_sg098_trial000_4a6e9eb431.cif,Co8Bi4,98,12,8,4
Co8_Bi4_m2_n1_z4_sg097_trial000_789a534c83.cif,Co8Bi4,97,12,8,4
Co8_Bi4_m2_n1_z4_sg101_trial000_2a08b74419.cif,Co8Bi4,101,12,8,4
Co8_Bi4_m2_n1_z4_sg102_trial000_9d4c1ddc00.cif,Co8Bi4,102,12,8,4
Co8_Bi4_m2_n1_z4_sg100_trial000_4fee79f72f.cif,Co8Bi4,100,12,8,4
Co8_Bi4_m2_n1_z4_sg089_trial000_6080cd0768.cif,Co8Bi4,89,12,8,4
Co8_Bi4_m2_n1_z4_sg104_trial000_6646a9d975.cif,Co8Bi4,104,12,8,4
Co8_Bi4_m2_n1_z4_sg112_trial000_b636b1a609.cif,Co8Bi4,112,12,8,4
Co8_Bi4_m2_n1_z4_sg115_trial000_fbafdc07c8.cif,Co8Bi4,115,12,8,4
Co8_Bi4_m2_n1_z4_sg117_trial000_b6b3eb21f8.cif,Co8Bi4,117,12,8,4
Co8_Bi4_m2_n1_z4_sg121_trial000_5288005b2a.cif,Co8Bi4,121,12,8,4
Co8_Bi4_m2_n1_z4_sg125_trial000_e46de93f42.cif,Co8Bi4,125,12,8,4
