"candidate_id","target_system","formula","source_system","source_formula","source_material_id","prototype_label","n_atoms","initial_file_path"
"cobi_pyxtal_00075","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_125_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg125_trial000_eacdd2859f.cif"
"cobi_pyxtal_00076","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_123_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg123_trial000_f82d6971ca.cif"
"cobi_pyxtal_00077","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_126_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg126_trial000_785ec34c71.cif"
"cobi_pyxtal_00078","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_128_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg128_trial000_8f420f3a3d.cif"
"cobi_pyxtal_00079","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_129_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg129_trial000_4b74316be2.cif"
"cobi_pyxtal_00080","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_131_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg131_trial000_3f8cf9736c.cif"
"cobi_pyxtal_00081","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_134_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg134_trial000_02fecd17f9.cif"
"cobi_pyxtal_00082","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_136_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg136_trial000_1ab049a447.cif"
"cobi_pyxtal_00083","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_191_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg191_trial000_a6b98b7590.cif"
"cobi_pyxtal_00084","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_150_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg150_trial000_ae1b8a0b59.cif"
