material_id,formula_pretty,chemsys,spacegroup_number,nsites,volume,density,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization,magnetic_ordering,is_stable,volume_per_atom,composition_A_fraction,cs_Cubic,cs_Hexagonal,cs_Monoclinic,cs_Orthorhombic,cs_Tetragonal,cs_Triclinic,cs_Trigonal
mp-2379,CoSi2,Co-Si,225,3,37.49040591187122,5.098238012582362,-0.41107844000000104,0.0,0.0,1.2e-06,0,1,12.496801970623741,0.3333333333333333,1,0,0,0,0,0,0
mp-22631,Co2N,Co-N,58,6,53.65453019820948,8.16260684677714,0.17786528208333302,0.17786528208333502,0.0,0.0278467,0,0,8.94242169970158,0.6666666666666666,0,0,0,1,0,0,0
mp-1205986,Co3N,Co-N,182,8,76.37573899932461,8.29690932085424,0.159141146562499,0.159141146562499,0.0,7.3738857,1,0,9.546967374915576,0.75,0,1,0,0,0,0,0
mp-1206425,Co4N,Co-N,221,5,51.045433038608465,8.12417758702737,0.06959518424999901,0.06959518425000101,0.0,6.8117786,1,0,10.209086607721693,0.8,1,0,0,0,0,0,0
mp-1008985,CoN,Co-N,221,2,16.02801619001904,7.55673963173468,0.8723944950000001,0.8723944950000001,0.0,1.2060564,1,0,8.01400809500952,0.5,1,0,0,0,0,0,0
mp-1009078,CoN,Co-N,225,2,16.08901255911837,7.528090659147261,0.374160344999999,0.374160344999999,0.0,0.014129899999999002,0,0,8.044506279559185,0.5,1,0,0,0,0,0,0
mp-1404786,CoN,Co-N,40,4,54.073629080612356,4.479800864877714,0.917878407499999,0.917878407499999,0.0,1.060515399999999,1,0,13.518407270153089,0.5,0,0,0,1,0,0,0
mp-448,CoN,Co-N,216,2,18.78955470500436,6.446110462050669,0.10286146062500001,0.10286146062500001,0.0,1.83e-05,0,0,9.39477735250218,0.5,1,0,0,0,0,0,0
mp-1194075,CoN12,Co-N,2,26,467.53328643704356,1.612569432305313,1.577843695769231,1.577843695769231,0.32770000000000005,15.9998509,1,0,17.98204947834783,0.07692307692307693,0,0,0,0,0,1,0
mp-1412630,CoN12,Co-N,2,26,467.53323018121256,1.612569626337368,5.822058452692308,5.822058452692309,0.0,0.4571073,2,0,17.982047314662022,0.07692307692307693,0,0,0,0,0,1,0
mp-22762,CoN3,Co-N,204,16,122.51428716632716,5.4732192996204,0.383967929999998,0.383967929999998,0.0,0.0276351,0,0,7.657142947895448,0.25,1,0,0,0,0,0,0
mp-766681,Co15O28,Co-O,2,43,470.9993619526045,4.6959866036058155,-1.08509475116279,0.023970381727576002,0.49620000000000003,15.0001521,1,1,10.9534735337815,0.3488372093023256,0,0,0,0,0,1,0
mp-850026,Co21O40,Co-O,82,61,644.9330543553015,4.834274586470409,-1.049597354918032,0.048658195807965,0.0,21.0002894,1,1,10.572673022218057,0.3442622950819672,0,0,0,0,1,0,0
mp-2740066,Co23O32,Co-O,121,55,516.425158920953,6.004672964463483,-1.332651985636364,0.004434659181818,0.0,23.0234144,1,1,9.389548344017326,0.41818181818181815,0,0,0,0,1,0,0
mp-705564,Co23O32,Co-O,1,55,561.3785059756846,5.523838474278383,-1.272912193454546,0.0,0.0,19.6148521,2,1,10.20688192683063,0.41818181818181815,0,0,0,0,0,1,0
mp-705563,Co29O40,Co-O,1,69,727.9768602068345,5.358234126387961,-1.181368133913043,0.095079775942028,0.0,87.0019955,1,0,10.550389278359921,0.42028985507246375,0,0,0,0,0,1,0
mp-1043418,Co2O3,Co-O,63,20,226.18613795884957,4.870760585879938,-0.929350249999999,0.300602043428572,0.151899999999999,12.0009821,2,0,11.309306897942479,0.4,0,0,0,1,0,0,0
mp-1271784,Co3O4,Co-O,74,14,146.7422048629406,5.449735925574735,-1.259956513571428,0.030381710714285002,0.0,6.0000509,1,1,10.481586061638614,0.42857142857142855,0,0,0,1,0,0,0
mp-1271793,Co3O4,Co-O,166,14,144.75003821314965,5.524739582189392,-1.290338224285714,0.0,0.0,5.9998429,1,1,10.339288443796404,0.42857142857142855,0,0,0,0,0,0,1
mp-1271940,Co3O4,Co-O,141,14,146.7422048629406,5.449735925574735,-1.200440123571428,0.089898100714285,0.0,17.9998604,1,0,10.481586061638614,0.42857142857142855,0,0,0,0,1,0,0
mp-18748,Co3O4,Co-O,227,14,130.21434052448745,6.141460782418401,-1.279858292857144,0.010479931428569001,0.0,5.9999998,1,1,9.301024323177675,0.42857142857142855,1,0,0,0,0,0,0
mp-1046082,Co5O7,Co-O,63,24,273.5798507358449,4.936604523060536,-0.861694277499999,0.40763792428571405,0.0,7.847357899999999,2,0,11.39916044732687,0.4166666666666667,0,0,0,1,0,0,0
mp-761471,Co5O8,Co-O,216,13,125.70728249592105,5.583172104968004,-1.169614579999998,0.023987028791211003,0.0,4.993443,1,1,9.669790961224695,0.38461538461538464,1,0,0,0,0,0,0
mp-2215229,Co7O12,Co-O,1,19,198.02074721820347,5.069355950460887,-1.003273052105263,0.152064678120301,0.1673,9.0447752,2,0,10.422144590431762,0.3684210526315789,0,0,0,0,0,1,0
mp-756900,Co7O12,Co-O,5,19,199.00068508842463,5.044392951608494,-1.030352374736842,0.12498535548872201,0.0,12.4063836,1,0,10.473720267811823,0.3684210526315789,0,0,1,0,0,0,0
mp-1343966,Co9O13,Co-O,12,22,247.08745660224707,4.9623199981995025,-1.003932737045455,0.24749950639610402,0.0,29.0003672,1,0,11.231248027374868,0.4090909090909091,0,0,1,0,0,0,0
mp-1244882,CoO,Co-O,1,80,1044.2359862327437,4.766298154811251,-0.8700932445,0.401737901749999,0.2197,103.9999995,1,0,13.052949827909297,0.5,0,0,0,0,0,1,0
mp-1244939,CoO,Co-O,1,80,997.8887168179468,4.987670439084296,-0.8624241946250011,0.409406951625,0.258099999999999,118.0000003,1,0,12.473608960224336,0.5,0,0,0,0,0,1,0
mp-1245089,CoO,Co-O,1,80,1022.3265623574213,4.8684444263011795,-0.9030274552499991,0.36880369100000104,0.2662,120.0000007,1,0,12.779082029467766,0.5,0,0,0,0,0,1,0
mp-1245304,CoO,Co-O,1,80,1043.5196614446731,4.769569983452121,-0.887707466874999,0.384123679375001,0.347099999999999,118.0,1,0,13.043995768058414,0.5,0,0,0,0,0,1,0
mp-19079,CoO,Co-O,225,4,38.31257810465772,6.49543870523758,-1.23491615,0.036914996250001005,0.0,5.9999998,1,1,9.57814452616443,0.5,1,0,0,0,0,0,0
mp-19128,CoO,Co-O,186,4,46.30051749653841,5.374821193673203,-1.27141856625,0.00041258,0.7120000000000001,3.55e-05,3,1,11.575129374134603,0.5,0,1,0,0,0,0,0
mp-19275,CoO,Co-O,139,8,79.70449348400037,6.244491165818308,-1.140194398750001,0.131636747499999,0.0,0.0001526,3,0,9.963061685500046,0.5,0,0,0,0,1,0,0
mp-22408,CoO,Co-O,216,4,45.6458388279094,5.451909946417111,-1.2718311462500012,0.0,0.5880000000000001,7e-07,3,1,11.41145970697735,0.5,1,0,0,0,0,0,0
mp-1041988,CoO2,Co-O,74,12,124.53609843719327,4.849875080277291,-0.8186206300000001,0.253812030000001,0.0,9.9979133,1,0,10.378008203099439,0.3333333333333333,0,0,0,1,0,0,0
mp-1047639,CoO2,Co-O,63,12,126.05260343648641,4.791527536437043,-0.837622926666667,0.23480973333333402,0.0,4.0010525,1,0,10.5043836197072,0.3333333333333333,0,0,0,1,0,0,0
mp-1062643,CoO2,Co-O,42,3,59.552919313821576,2.5354950158813,-0.551763283333333,0.520669376666668,0.0,2.6573725,1,0,19.850973104607192,0.3333333333333333,0,0,0,1,0,0,0
mp-1062939,CoO2,Co-O,166,12,132.89098901235565,4.54496218964363,-0.965931922500002,0.10650073749999901,0.0,3.997366,1,0,11.07424908436297,0.3333333333333333,0,0,0,0,0,0,1
mp-1063268,CoO2,Co-O,65,3,230.84453388018053,0.654103121106389,-0.6623328300000001,0.41009983000000005,0.0,3.0003964,1,0,76.94817796006018,0.3333333333333333,0,0,0,1,0,0,0
mp-1178540,CoO2,Co-O,5,24,268.9339806513023,4.491693604079174,-1.046557010416666,0.025875649583334003,0.0,7.9996377,1,1,11.205582527137596,0.3333333333333333,0,0,1,0,0,0,0
mp-1181781,CoO2,Co-O,12,3,133.0912067326342,1.134531227181001,0.23750547999999902,1.30993814,0.9901999999999991,0.999902699999999,1,0,44.36373557754473,0.3333333333333333,0,0,1,0,0,0,0
mp-1226115,CoO2,Co-O,8,3,155.4837253241949,0.9711378460127441,-0.41563720000000004,0.656795460000001,0.0,1.995114,1,0,51.8279084413983,0.3333333333333333,0,0,1,0,0,0,0
mp-1244867,CoO2,Co-O,1,90,1216.4339148454005,3.723904642708839,-0.43809933244444504,0.634333327555556,0.0,87.9999991,2,0,13.515932387171118,0.3333333333333333,0,0,0,0,0,1,0
mp-1244948,CoO2,Co-O,1,90,1114.0442016691466,4.066161734206108,-0.37509983755555504,0.697332822444446,0.0128,68.0230196,2,0,12.378268907434961,0.3333333333333333,0,0,0,0,0,1,0
mp-1245011,CoO2,Co-O,1,90,1181.828781905541,3.832944308343416,-0.37523682144444404,0.697195838555557,0.023500000000000004,86.0000006,2,0,13.131430910061567,0.3333333333333333,0,0,0,0,0,1,0
