cif_filename,formula,m,n,z,space_group,trial,seed,n_Co,n_Bi,n_atoms,volume,density,packing_fraction,min_CoCo,min_BiBi,min_CoBi,fingerprint
Co2_Bi2_m1_n1_z2_sg164_trial000_9e1a21bc21.cif,Co2Bi2,1,1,2,164,0,3389928685,2,2,4,122.925020,7.238250,0.382018,3.328343,3.132609,2.790000,9e1a21bc21bc4168bffdc8f7f4235f8d035c3175
Co2_Bi2_m1_n1_z2_sg173_trial000_319762b885.cif,Co2Bi2,1,1,2,173,0,1437700748,2,2,4,121.569126,7.318980,0.386279,6.329402,6.014253,2.790000,319762b885309bb4f7a6370b05accf69930d6958
Co2_Bi2_m1_n1_z2_sg111_trial000_4f9acdf39f.cif,Co2Bi2,1,1,2,111,0,2722695459,2,2,4,66.478189,13.384269,0.706391,3.116778,3.116778,2.790000,4f9acdf39f7561fdb48288fdce47fecea6c64ee0
Co2_Bi2_m1_n1_z2_sg182_trial000_031a0d394d.cif,Co2Bi2,1,1,2,182,0,1797892960,2,2,4,74.326161,11.971047,0.631804,2.162299,3.360172,2.790000,031a0d394d8f3109bfda89d1d7360ffac32907e6
Co2_Bi2_m1_n1_z2_sg176_trial000_57df0d441e.cif,Co2Bi2,1,1,2,176,0,3441790734,2,2,4,75.025133,11.859519,0.625918,2.194134,3.375614,2.790000,57df0d441edb25be174cd6e2badbadee9a6ddb8c
Co2_Bi2_m1_n1_z2_sg174_trial000_886ab29d50.cif,Co2Bi2,1,1,2,174,0,370115647,2,2,4,322.626378,2.757871,0.145554,4.928878,3.437525,2.790000,886ab29d500f79d6030febe70cd429db7dabbc32
Co2_Bi2_m1_n1_z2_sg143_trial000_7cd420cd7c.cif,Co2Bi2,1,1,2,143,0,4182685253,2,2,4,82.250106,10.817761,0.570937,6.272703,6.535609,2.790000,7cd420cd7c9f4405952b0a62a289ed23797cc7e7
Co2_Bi2_m1_n1_z2_sg186_trial000_cb935affd6.cif,Co2Bi2,1,1,2,186,0,2485543453,2,2,4,113.835017,7.816242,0.412523,2.856954,3.978736,2.790000,cb935affd6a5a7bdf06d04b1771febf8c0564990
Co2_Bi2_m1_n1_z2_sg188_trial000_1d5aa54cbd.cif,Co2Bi2,1,1,2,188,0,3732260058,2,2,4,239.277266,3.718540,0.196256,5.915768,5.915768,2.790000,1d5aa54cbd8884c8d9841a0d2e3468a9906a01e3
Co2_Bi2_m1_n1_z2_sg191_trial000_1f10179fd4.cif,Co2Bi2,1,1,2,191,0,99717932,2,2,4,236.311491,3.765208,0.198719,5.842444,2.790000,2.790000,1f10179fd44111cf145813f18f268c91cb0b9944
Co2_Bi2_m1_n1_z2_sg192_trial000_918910f129.cif,Co2Bi2,1,1,2,192,0,341156734,2,2,4,125.151796,7.109462,0.375221,5.580000,5.580000,2.790000,918910f1296c4bec3406921fba32f3704ef70197
Co2_Bi2_m1_n1_z2_sg194_trial000_5a08b2cf19.cif,Co2Bi2,1,1,2,194,0,3361868234,2,2,4,55.433427,16.051001,0.847135,4.931586,4.695592,2.790000,5a08b2cf191ec87e98d2a0dfb0770db840984bcc
