chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Bi-Co,E9ilRnDEI3iTMqfd6kZSwUGzmQ5l,AFLOW,Bi2Co2,63.0,Cmcm,B33,BCr,False
Bi-Co,ED66anXdGZSjVt0wSYbI12POdPgs,AFLOW,BiCo3,10.0,P2/m,,,False
Bi-Co,EHo1OiA8184TejlYYgLBXVpgciNh,AFLOW,Bi2Co6,223.0,Pm-3n,A15,Cr3Si,False
Bi-Co,EJh9A1x6jjq_uGciY9LfM7m87fWa,AFLOW,Bi2Co4,12.0,C2/m,,,False
Bi-Co,ET7VBZyWPIPiXHFMYGXWdu3HuAIF,AFLOW,BiCo2,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,EU-PbiXGdKdT3qcLkaaJIgWg3qlW,Miguel Marques,BiCo,223.0,Pm-3n,,,True
Bi-Co,EVHYVUzKkJ83TZNCrbOyksTvz7TW,AFLOW,BiCo2,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,EZs7GVJr3nMZmdyaO8XjE_McqvA8,AFLOW,BiCo3,25.0,Pmm2,,,False
Bi-Co,Eq0ocKAnlZpec2CySwVSbtEwgyK0,AFLOW,Bi6Co10,193.0,P6_3/mcm,D88,Mn5Si3,False
Bi-Co,EvGQnIN8eTA3knZySEr6m80qLRD4,AFLOW,BiCo3,187.0,P-6m2,,,False
Bi-Co,F7Zl_hSPiJ8pIHCZYmXab79KBjkI,AFLOW,BiCo3,71.0,Immm,,,False
Bi-Co,FCe0yPbgjNFnPYRXHW9FkAzmW3HA,AFLOW,Bi2Co,164.0,P-3m1,C6,CdI2,False
Bi-Co,FIO6MSzxKggL7PiW3-XjaDnhsXIW,AFLOW,Bi4Co2,8.0,Cm,,,False
Bi-Co,FLoUi8bKnb9CSyLSvHDXunlnrbRz,AFLOW,Bi4Co8,62.0,Pnma,C25,Cl2Hg,False
Bi-Co,FapeqMsJGZEpg-wOcXvLmLdoXIV7,AFLOW,Bi2Co2,51.0,Pmma,B19,AuCd,False
Bi-Co,G5fMKarFZLrhFsfTgepwoMjp5zOi,AFLOW,Bi2Co2,166.0,R-3m,,,False
