chemsys,material_id,formula,composition_reduced,energy_above_hull,formation_energy_per_atom,is_stable,spacegroup,spacegroup_number,nsites,volume,density,band_gap
N-Ti,mp-980941,Ti3N,Ti3 N1,1.344308334166667,0.253594387395835,False,Pm-3m,221,4,50.52603564886124,5.179779883499949,0.0
N-Ti,mp-1187591,Ti3N2,Ti3 N2,0.031246648999999002,-1.6183914215000001,False,R-3c,167,10,111.86101639578948,5.095115792311816,0.0
N-Ti,mp-1246153,Ti3N2,Ti3 N2,0.136062981,-1.513575089499998,False,P6_3/mmc,194,10,116.01075158621794,4.912862156217144,0.0
N-Ti,mp-1080190,Ti3N4,Ti3 N4,0.12240204357143,-1.54274134160714,False,P31c,159,28,399.49245507742097,3.319109099221103,1.7589000000000001
N-Ti,mp-1080192,Ti3N4,Ti3 N4,0.104578605000002,-1.560564780178568,False,Pnma,62,28,283.30587510932725,4.6803090200863675,0.09770000000000001
N-Ti,mp-1217167,Ti3N4,Ti3 N4,0.15036810357142902,-1.514775281607141,False,I4/mmm,139,7,72.79454305827758,4.553772120171544,0.0
N-Ti,mp-1217048,Ti8N5,Ti8 N5,0.027082489615386004,-1.577474163621793,False,P-4m2,115,13,150.76411955227127,4.989075338097825,0.0
N-Ti,mp-33046,TiN,Ti1 N1,0.074481756136364,-1.868185526571967,False,R3m,160,44,480.6525037448127,4.702693308328239,0.0
N-Ti,mp-492,TiN,Ti1 N1,0.0,-1.9426672827083311,True,Fm-3m,225,2,19.073073170918462,5.386845377479396,0.0
N-Ti,mp-998903,TiN,Ti1 N1,0.8902708449999991,-1.052396437708331,False,Pm-3m,221,2,18.385195311437567,5.588392959914372,0.0
N-Ti,mp-998908,TiN,Ti1 N1,0.30187462000000104,-1.64079266270833,False,F-43m,216,2,24.372520928461746,4.21555473669145,0.0
N-Ti,mp-1080172,TiN2,Ti1 N2,0.275884723333334,-1.019226798472222,False,I4/mcm,140,6,50.32618346420951,5.007427939726197,0.0
