chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Co,aflow:80008cfab7371489,Bi4Co16,217,cI40,0.44227,-6.05217,,False
Bi-Co,aflow:83bb3d736337087d,Bi1Co2,139,tI6,0.510103,-5.57479,,False
Bi-Co,aflow:838c82c0d4e5a20a,Bi3Co1,166,hR4,0.660905,-4.14416,,False
Bi-Co,aflow:866c6664406b7271,Bi1Co2,191,hP3,0.478368,-5.60653,,False
Bi-Co,aflow:88bbcd80c7be3b49,Bi1Co1,221,cP2,0.514377,-5.05858,,False
Bi-Co,aflow:890e9641d873145b,Bi2Co1,191,hP3,0.864353,-4.19667,,False
Bi-Co,aflow:899bdf31e6b6d13c,Bi3Co1,44,oI8,0.21043,-4.59463,,False
Bi-Co,aflow:8c9f41684bcc2529,Bi2Co1,139,tI6,0.190918,-4.87011,,False
Bi-Co,aflow:8edfde8b5e09c659,Bi2Co2,63,oS8,0.278863,-5.2941,,False
Bi-Co,aflow:8f51aef0bcdeb97a,Bi4Co8,139,tI6,0.510799,-5.57409,,False
Bi-Co,aflow:91fe16a89bd82538,Bi2Co2,74,oI8,0.352132,-5.22083,,False
Bi-Co,aflow:92970a3210a5d06e,Bi1Co1,225,cF8,0.534983,-5.03798,,False
Bi-Co,aflow:9234f704975affe1,Bi6Co2,63,oS16,0.212312,-4.59275,,False
Bi-Co,aflow:9385fe25a02e4f12,Bi2Co2,12,mS8,0.163336,-5.40962,,False
Bi-Co,aflow:9331aebc52c30ea4,Bi1Co3,139,tI8,0.416449,-5.92441,,False
Bi-Co,aflow:957b56720e507242,Bi2Co2,129,tP4,0.431312,-5.14165,,False
Bi-Co,aflow:9791b9103a584e51,Bi4Co2,12,mS12,0.219319,-4.84171,,False
Bi-Co,aflow:9a6b79e283d38ee1,Bi6Co2,223,cP8,0.659239,-4.14582,,False
Bi-Co,aflow:9a485eaa49151898,Bi6Co18,194,hP24,0.434434,-5.90643,,False
Bi-Co,aflow:9ca5ca36f69c15d1,Bi1Co4,87,tI10,0.345314,-6.14913,,False
Bi-Co,aflow:a0c3e8fcfd75b27a,Bi1Co8,139,tI18,0.178173,-6.5893,,False
Bi-Co,aflow:a102e4e699c2fb37,Bi8Co16,227,cF96,0.452639,-5.63225,,False
Bi-Co,aflow:a2903752b5392cac,Bi4Co4,198,cP8,0.473481,-5.09948,,False
Bi-Co,aflow:a394296aa35e9cdf,Bi1Co3,123,tP4,0.452901,-5.88796,,False
Bi-Co,aflow:a6b4157c4363b022,Bi4Co2,63,oS12,0.231005,-4.83002,,False
Bi-Co,aflow:a6603fd88e84a03c,Bi2Co4,140,tI12,0.448387,-5.63651,,False
Bi-Co,aflow:a637f4ddeb56177d,Bi5Co1,123,tP6,0.191942,-4.35715,,False
Bi-Co,aflow:a6b2f7fb1d8d7998,Bi3Co1,12,mS8,0.263562,-4.5415,,False
Bi-Co,aflow:a9c8f8223578bcb0,Bi8Co4,205,cP12,0.22302,-4.83801,,False
Bi-Co,aflow:a977ebecef0054f2,Bi1Co7,225,cF32,0.329139,-6.39567,,False
Bi-Co,aflow:aae666741d7da444,Bi2Co3,166,hR5,0.356758,-5.52336,,False
Bi-Co,aflow:ab6d7bc921c2be93,Bi4Co2,12,mS12,0.187297,-4.87373,,False
Bi-Co,aflow:ae0550bf103e3c0a,Bi2Co4,194,hP6,0.427512,-5.65738,,False
Bi-Co,aflow:b1613d35cb779c2a,Bi1Co3,123,tP4,0.453309,-5.88755,,False
Bi-Co,aflow:b14853ad5fdbf619,Bi1Co3,139,tI8,0.417013,-5.92385,,False
Bi-Co,aflow:b1786c0671552a27,Bi8Co1,139,tI18,0.17653,-4.20192,,False
Bi-Co,aflow:b5eeb8b6f783bf52,Bi2Co1,139,tI6,0.19104,-4.86999,,False
Bi-Co,aflow:b5e29e60a891f801,Bi1Co1,221,cP2,0.517682,-5.05528,,False
Bi-Co,aflow:b998c22484ada4af,Bi4Co2,63,oS12,0.300992,-4.76004,,False
Bi-Co,aflow:b9fa9871b1efef61,Bi4Co8,194,hP12,0.430787,-5.65411,,False
Bi-Co,aflow:bd7410c5694ddcea,Bi4Co3,191,hP7,0.534448,-4.81911,,False
Bi-Co,aflow:be1e3e4e3365b9af,Bi1Co2,191,hP3,0.478592,-5.6063,,False
Bi-Co,aflow:c05db44feced3e17,Bi2Co4,12,mS12,0.383101,-5.70179,,False
Bi-Co,aflow:c3fc358742b9bbcd,Bi2Co1,164,hP3,0.214639,-4.84639,,False
Bi-Co,aflow:c3c81336a8a42098,Bi16Co4,197,cI40,0.470756,-4.18072,,False
Bi-Co,aflow:c508f2069e59a39a,Bi2Co4,141,tI12,0.468253,-5.61664,,False
