cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co3_Bi4_m3_n4_z1_sg215_trial000_5ed865bb70.cif,Co3Bi4,215,7,3,4,3.945656,3.945656,2.790000,173.741112,24.820159,0.493481
Co3_Bi4_m3_n4_z1_sg221_trial000_03df18fd40.cif,Co3Bi4,221,7,3,4,3.945656,3.945656,2.790000,173.741112,24.820159,0.493481
Co3_Bi4_m3_n4_z1_sg168_trial000_d8331f1f8a.cif,Co3Bi4,168,7,3,4,3.271450,2.833159,2.790000,408.063854,58.294836,0.210109
Co3_Bi4_m3_n4_z1_sg183_trial000_73d403d63b.cif,Co3Bi4,183,7,3,4,2.874873,2.874873,2.790000,385.940345,55.134335,0.222153
Co6_Bi8_m3_n4_z2_sg050_trial000_ffa4f195e3.cif,Co6Bi8,50,14,6,8,2.790000,2.998523,2.871053,785.792566,56.12804,0.21822
Co6_Bi8_m3_n4_z2_sg059_trial000_89f070fde7.cif,Co6Bi8,59,14,6,8,3.484799,2.973217,2.790000,693.387767,49.527698,0.247302
Co6_Bi8_m3_n4_z2_sg055_trial000_fa218f6165.cif,Co6Bi8,55,14,6,8,3.241488,3.348513,2.790000,477.147378,34.081956,0.359377
Co6_Bi8_m3_n4_z2_sg082_trial000_ce8b3f680d.cif,Co6Bi8,82,14,6,8,3.948364,4.133356,2.790000,850.796229,60.771159,0.201548
Co6_Bi8_m3_n4_z2_sg085_trial000_2391b85548.cif,Co6Bi8,85,14,6,8,3.945656,2.996455,2.790000,530.039603,37.859972,0.323515
Co6_Bi8_m3_n4_z2_sg099_trial000_afe1f58429.cif,Co6Bi8,99,14,6,8,2.898886,2.847646,2.790000,714.702928,51.050209,0.239926
Co6_Bi8_m3_n4_z2_sg103_trial000_47710d269d.cif,Co6Bi8,103,14,6,8,3.901927,3.574548,2.790000,679.85737,48.561241,0.252223
Co6_Bi8_m3_n4_z2_sg093_trial000_329e5282d2.cif,Co6Bi8,93,14,6,8,3.357544,2.790000,3.357544,743.044632,53.074617,0.230775
Co6_Bi8_m3_n4_z2_sg104_trial000_a1d462de1e.cif,Co6Bi8,104,14,6,8,2.851189,2.851189,2.790000,418.941193,29.924371,0.409308
Co6_Bi8_m3_n4_z2_sg118_trial000_6dfc4af55c.cif,Co6Bi8,118,14,6,8,3.207788,3.073067,2.790000,827.424326,59.101738,0.207241
Co6_Bi8_m3_n4_z2_sg112_trial000_eff249a0d4.cif,Co6Bi8,112,14,6,8,2.790000,3.390390,2.998028,516.021051,36.858646,0.332304
Co6_Bi8_m3_n4_z2_sg124_trial000_e689b31db2.cif,Co6Bi8,124,14,6,8,2.821554,2.821554,2.790000,492.086995,35.149071,0.348467
Co6_Bi8_m3_n4_z2_sg129_trial000_849aad698f.cif,Co6Bi8,129,14,6,8,3.945656,3.224356,2.790000,476.189607,34.013543,0.3601
Co6_Bi8_m3_n4_z2_sg139_trial000_dfec230d60.cif,Co6Bi8,139,14,6,8,4.156540,3.945656,2.790000,517.678794,36.977057,0.33124
Co6_Bi8_m3_n4_z2_sg150_trial000_b8e48cd6be.cif,Co6Bi8,150,14,6,8,4.004214,3.663656,2.790000,610.019937,43.572853,0.281099
